approach,precision,recall,f1,accuracy,n_flagged,tp,fp,fn,tn
Baseline: 4-flag OR rule (no ML),0.811,0.489,0.61,0.815,2652,2151,501,2250,9986
Random Forest (any non-Legitimate prediction),1.0,1.0,1.0,1.0,4401,4401,0,0,10487
